Q,A,label
isfp,참고하겠습니다!,
istj,참고하겠습니다!,
isfj,참고하겠습니다!,
엠비티아이 잘 몰라,괜찮습니다,
몰라,괜찮습니다,
잘 몰라,괜찮습니다,
잘 모르는데,괜찮습니다,
ㅁㄹ,괜찮습니다,
까먹었어,괜찮습니다,
생각 안나,괜찮습니다,
뭐였더라,괜찮습니다,
기억이 안나,괜찮습니다,
잘 기억 안나,괜찮습니다,
뭔지 몰라요,괜찮습니다,
엠비티아이가 뭐에요?,성격유형을 16가지로 나눈것이에요! 모르신다면 다음 질문으로 넘어가겠습니다.,
mbti몰라,괜찮습니다,
mbti가 뭐에요?,성격유형을 16가지로 나눈것이에요! 모르신다면 다음 질문으로 넘어가겠습니다.,
그게 뭐야,괜찮습니다,
그게 뭔데,괜찮습니다,
뭔지 몰라,괜찮습니다,
mbti가 뭐지,성격유형을 16가지로 나눈것이에요! 모르신다면 다음 질문으로 넘어가겠습니다.,
엠비티아이가 뭐지,성격유형을 16가지로 나눈것이에요! 모르신다면 다음 질문으로 넘어가겠습니다.,
그게 뭐지,성격유형을 16가지로 나눈것이에요! 모르신다면 다음 질문으로 넘어가겠습니다.,
그게 뭔데,성격유형을 16가지로 나눈것이에요! 모르신다면 다음 질문으로 넘어가겠습니다.,
뭐야 그게,성격유형을 16가지로 나눈것이에요! 모르신다면 다음 질문으로 넘어가겠습니다.,
빨간색,빨간 칵테일로 찾아봐야겠어요,
빨간색 좋아해,빨간 칵테일로 찾아봐야겠어요,
빨강,빨간 칵테일로 찾아봐야겠어요,
레드,빨간 칵테일로 찾아봐야겠어요,
빨간 계열,빨간 칵테일로 찾아봐야겠어요,
빨간색 좋아하는 편이야,빨간 칵테일로 찾아봐야겠어요,
주황색 좋아해,"오렌지색 칵테일이 있나,… 뒤적뒤적",
주황색,"오렌지색 칵테일이 있나,… 뒤적뒤적",
오렌지색,"오렌지색 칵테일이 있나,… 뒤적뒤적",
주황색 좋아하는 편이야,"오렌지색 칵테일이 있나,… 뒤적뒤적",
오렌지,"오렌지색 칵테일이 있나,… 뒤적뒤적",
주황,"오렌지색 칵테일이 있나,… 뒤적뒤적",
주황 계열,"오렌지색 칵테일이 있나,… 뒤적뒤적",
노란색,칵테일도 노란색 칵테일이 대체로 맛있더군요,
노랑,칵테일도 노란색 칵테일이 대체로 맛있더군요,
옐로우,칵테일도 노란색 칵테일이 대체로 맛있더군요,
노란 계열,칵테일도 노란색 칵테일이 대체로 맛있더군요,
노란색 좋아해,칵테일도 노란색 칵테일이 대체로 맛있더군요,
노란 계열 좋아해,칵테일도 노란색 칵테일이 대체로 맛있더군요,
노란 계열,칵테일도 노란색 칵테일이 대체로 맛있더군요,
노란색 좋아해요,칵테일도 노란색 칵테일이 대체로 맛있더군요,
초록색,"독특하시네요, 초록색 칵테일로 한번 찾아볼게요",
초록,"독특하시네요, 초록색 칵테일로 한번 찾아볼게요",
초록 계열,"독특하시네요, 초록색 칵테일로 한번 찾아볼게요",
초록색 좋아해,"독특하시네요, 초록색 칵테일로 한번 찾아볼게요",
그린,"독특하시네요, 초록색 칵테일로 한번 찾아볼게요",
이화 그린,크 뭘 좀 아시네요,
초록색 좋아하는 편이야,"독특하시네요, 초록색 칵테일로 한번 찾아볼게요",
라이트 그린,"독특하시네요, 초록색 칵테일로 한번 찾아볼게요",
연두색,"독특하시네요, 초록색 칵테일로 한번 찾아볼게요",
연두색 좋아해,"독특하시네요, 초록색 칵테일로 한번 찾아볼게요",
연두,"독특하시네요, 초록색 칵테일로 한번 찾아볼게요",
연두 계열,"독특하시네요, 초록색 칵테일로 한번 찾아볼게요",
연두색 좋아하는 편이야,"독특하시네요, 초록색 칵테일로 한번 찾아볼게요",
하늘색,하늘색이 참 예쁘죠,
스카이 블루,하늘색이 참 예쁘죠,
하늘색 좋아해,하늘색이 참 예쁘죠,
하늘,하늘색이 참 예쁘죠,
하늘색 계열,하늘색이 참 예쁘죠,
하늘색 좋아하는 편이야,하늘색이 참 예쁘죠,
소라색,소라색 정말 예쁜거 같아요,
소라색 좋아해,소라색 정말 예쁜거 같아요,
소라색 좋아하는 편이야,소라색 정말 예쁜거 같아요,
파랑색,"파랑이라니, 역시 저랑 잘 맞으시군요",
블루,"파랑이라니, 역시 저랑 잘 맞으시군요",
파랑색 좋아해,"파랑이라니, 역시 저랑 잘 맞으시군요",
파랑,"파랑이라니, 역시 저랑 잘 맞으시군요",
파랑 계열 좋아해,"파랑이라니, 역시 저랑 잘 맞으시군요",
진파랑 좋아해,"파랑이라니, 역시 저랑 잘 맞으시군요",
진파랑색,"파랑이라니, 역시 저랑 잘 맞으시군요",
진한 파랑색,"파랑이라니, 역시 저랑 잘 맞으시군요",
보라색,보라색은 정말 신비한 색깔같아요,
보라,보라색은 정말 신비한 색깔같아요,
보라색 좋아하는 편이야,보라색은 정말 신비한 색깔같아요,
퍼플,보라색은 정말 신비한 색깔같아요,
보라색 좋아해,보라색은 정말 신비한 색깔같아요,
남색,트렌디한 색이죠,
남색 좋아해,트렌디한 색이죠,
남색 계열,트렌디한 색이죠,
네이비,트렌디한 색이죠,
고동색,갈색 계열의 칵테일중에 커피맛 나는게 정말 맛있어요,
갈색,갈색 계열의 칵테일중에 커피맛 나는게 정말 맛있어요,
브라운,갈색 계열의 칵테일중에 커피맛 나는게 정말 맛있어요,
갈색 계열,갈색 계열의 칵테일중에 커피맛 나는게 정말 맛있어요,
검정색,"암, 기본이 제일 좋은법이죠",
검정이 좋아,"암, 기본이 제일 좋은법이죠",
검은색 좋아,"암, 기본이 제일 좋은법이죠",
검은거,"암, 기본이 제일 좋은법이죠",
검정,"암, 기본이 제일 좋은법이죠",
블랙,"암, 기본이 제일 좋은법이죠",
흰색 좋아,"암, 기본이 제일 좋은법이죠",
흰색,"암, 기본이 제일 좋은법이죠",
화이트,"암, 기본이 제일 좋은법이죠",
흰거,"암, 기본이 제일 좋은법이죠",
파스텔 톤,알겠습니다!,
연한거면 다,알겠습니다!,
진한거면 다,알겠습니다!,
어느색이던 좋아,알겠습니다!,
묽은색이 좋아,알겠습니다!,
진한색이면 다 좋아,알겠습니다!,
파스텔 같은 색이 좋아,알겠습니다!,
그냥 주먹밥,"저런, 그러시군요, 조금 더 든든하게 드시지 그러셨어요",
주먹밥,"저런, 그러시군요, 조금 더 든든하게 드시지 그러셨어요",
간장밥,맛있는걸 드셨군요!,
간장국수,맛있는걸 드셨군요!,
비빔국수,맛있는걸 드셨군요!,
그냥 과일,"저런, 그러시군요, 조금 더 든든하게 드시지 그러셨어요",
그냥 귤,"저런, 그러시군요, 조금 더 든든하게 드시지 그러셨어요",
귤,"저런, 그러시군요, 조금 더 든든하게 드시지 그러셨어요",
브리또,맛있는걸 드셨군요!,
타코야끼,맛있는걸 드셨군요!,
멕시코 음식,맛있는걸 드셨군요!,
야끼소바,맛있는걸 드셨군요!,
스시,맛있는걸 드셨군요!,
우동,맛있는걸 드셨군요!,
찜닭,맛있는걸 드셨군요!,
팥빙수,맛있는걸 드셨군요!,
김치나베,맛있는걸 드셨군요!,
덮밥,맛있는걸 드셨군요!,
스테이크,맛있는걸 드셨군요!,
오늘 기분 개더러워,안좋은 하루를 보내셨군요.,
기분 더러워,안좋은 하루를 보내셨군요.,
더러워,안좋은 하루를 보내셨군요.,
기분 개별로야,안좋은 하루를 보내셨군요.,
기분 완전 안좋아,안좋은 하루를 보내셨군요.,
안좋아,안좋은 하루를 보내셨군요.,
슬퍼,안좋은 하루를 보내셨군요.,
완전 안좋아,안좋은 하루를 보내셨군요.,
기분 완전 별로,안좋은 하루를 보내셨군요.,
안좋음,안좋은 하루를 보내셨군요.,
별로,안좋은 하루를 보내셨군요.,
말걸지마,안좋은 하루를 보내셨군요.,
엿같아,안좋은 하루를 보내셨군요.,
좆같아,안좋은 하루를 보내셨군요.,
개빡쳐,안좋은 하루를 보내셨군요.,
빡쳐,안좋은 하루를 보내셨군요.,
짜증나,안좋은 하루를 보내셨군요.,
화나,안좋은 하루를 보내셨군요.,
완전 짜증나,안좋은 하루를 보내셨군요.,
완전 화나,안좋은 하루를 보내셨군요.,
정신없어,안좋은 하루를 보내셨군요.,
엿같아,안좋은 하루를 보내셨군요.,
열받아,안좋은 하루를 보내셨군요.,
죽을거같아,안좋은 하루를 보내셨군요.,
짜증나서 죽을거같아,안좋은 하루를 보내셨군요.,
열받아서 죽을거같아,안좋은 하루를 보내셨군요.,
다 때려치고 싶어,안좋은 하루를 보내셨군요.,
개별로야,안좋은 하루를 보내셨군요.,
말하고 싶지 않아,안좋은 하루를 보내셨군요.,
술이 땡겨,안좋은 하루를 보내셨군요.,
우울해,안좋은 하루를 보내셨군요.,
너무 슬퍼,안좋은 하루를 보내셨군요.,
슬프고 지쳐,안좋은 하루를 보내셨군요.,
지쳐,안좋은 하루를 보내셨군요.,
힘들어,안좋은 하루를 보내셨군요.,
너무 힘들어,안좋은 하루를 보내셨군요.,
안좋아서 술이 마시고 싶어,안좋은 하루를 보내셨군요.,
우울하고 엿같아,안좋은 하루를 보내셨군요.,
존나 슬퍼,안좋은 하루를 보내셨군요.,
존나 피곤해,안좋은 하루를 보내셨군요.,
피곤해,안좋은 하루를 보내셨군요.,
존나 별로,안좋은 하루를 보내셨군요.,
기분이 안좋아,안좋은 하루를 보내셨군요.,
기분이 별로야,안좋은 하루를 보내셨군요.,
기분이 그닥 좋지 않아,안좋은 하루를 보내셨군요.,
좋지 않아,안좋은 하루를 보내셨군요.,
좋지 않은거같아,안좋은 하루를 보내셨군요.,
안좋은거같아,안좋은 하루를 보내셨군요.,
우울하네,안좋은 하루를 보내셨군요.,
조금 우울하네,안좋은 하루를 보내셨군요.,
피곤하네,안좋은 하루를 보내셨군요.,
슬프네,안좋은 하루를 보내셨군요.,
축 쳐진다,안좋은 하루를 보내셨군요.,
축 쳐지네,안좋은 하루를 보내셨군요.,
쳐지네,안좋은 하루를 보내셨군요.,
좀 별로야,안좋은 하루를 보내셨군요.,
좀 안좋아,안좋은 하루를 보내셨군요.,
안괜찮아,안좋은 하루를 보내셨군요.,
괜찮지 않아,안좋은 하루를 보내셨군요.,
전혀 안괜찮아 ,안좋은 하루를 보내셨군요.,
안괜찮습니다,안좋은 하루를 보내셨군요.,
괜찮지않아요,안좋은 하루를 보내셨군요.,
나빠,안좋은 하루를 보내셨군요.,
기분 나빠,안좋은 하루를 보내셨군요.,
기분이 매우 나빠,안좋은 하루를 보내셨군요.,
나쁩니다,안좋은 하루를 보내셨군요.,
매우 나빠요,안좋은 하루를 보내셨군요.,
매우 나빠요,안좋은 하루를 보내셨군요.,
너무 안좋아,안좋은 하루를 보내셨군요.,
너무 별로야,안좋은 하루를 보내셨군요.,
최악,안좋은 하루를 보내셨군요.,
최악이야,안좋은 하루를 보내셨군요.,
최악이었어,안좋은 하루를 보내셨군요.,
완전 최악,안좋은 하루를 보내셨군요.,
오늘 완전 별로였어,안좋은 하루를 보내셨군요.,
오늘 완전 피곤했어,안좋은 하루를 보내셨군요.,
오늘 기분이 나빴어,안좋은 하루를 보내셨군요.,
오늘 하루 기분이 안좋았어,안좋은 하루를 보내셨군요.,
하루 별로였어,안좋은 하루를 보내셨군요.,
하루 종일 안좋았어,안좋은 하루를 보내셨군요.,
하루 종일 좋지 않았어,안좋은 하루를 보내셨군요.,
하루 종일 힘들었어,안좋은 하루를 보내셨군요.,
정신 없었어,안좋은 하루를 보내셨군요.,
내내 우울했어,안좋은 하루를 보내셨군요.,
내내 안좋았어,안좋은 하루를 보내셨군요.,
완전 좋았어,그런날에는 술을 즐겨야죠!,
좋았어,그런날에는 술을 즐겨야죠!,
기분 좋았어,그런날에는 술을 즐겨야죠!,
기분 좋아,그런날에는 술을 즐겨야죠!,
좋아,그런날에는 술을 즐겨야죠!,
최고야,그런날에는 술을 즐겨야죠!,
째져,그런날에는 술을 즐겨야죠!,
최고,그런날에는 술을 즐겨야죠!,
완전 좋아,그런날에는 술을 즐겨야죠!,
완벽해,그런날에는 술을 즐겨야죠!,
완벽했어,그런날에는 술을 즐겨야죠!,
너무너무 좋아,그런날에는 술을 즐겨야죠!,
너무 행복해,그런날에는 술을 즐겨야죠!,
행복해,그런날에는 술을 즐겨야죠!,
날아갈거같아,그런날에는 술을 즐겨야죠!,
너무 좋다,그런날에는 술을 즐겨야죠!,
너무 좋아,그런날에는 술을 즐겨야죠!,
환상적이야,그런날에는 술을 즐겨야죠!,
환상적이었어,그런날에는 술을 즐겨야죠!,
기뻤어,그런날에는 술을 즐겨야죠!,
행복했어,그런날에는 술을 즐겨야죠!,
기분이 좋았어,그런날에는 술을 즐겨야죠!,
기분이 좋아,그런날에는 술을 즐겨야죠!,
기분이 째져,그런날에는 술을 즐겨야죠!,
아 완벽해,그런날에는 술을 즐겨야죠!,
행복하다,그런날에는 술을 즐겨야죠!,
예쓰,그런날에는 술을 즐겨야죠!,
ㅎㅎㅎㅎㅎ,그런날에는 술을 즐겨야죠!,
ㅋㅋㅋㅋㅋ,그런날에는 술을 즐겨야죠!,
진짜 좋다,그런날에는 술을 즐겨야죠!,
진짜 좋아,그런날에는 술을 즐겨야죠!,
텐션 미쳤어,그런날에는 술을 즐겨야죠!,
텐션 높아,그런날에는 술을 즐겨야죠!,
텐션이 아주 높아,그런날에는 술을 즐겨야죠!,
텐션이 하늘을 찔러,그런날에는 술을 즐겨야죠!,
힘차,그런날에는 술을 즐겨야죠!,
기운 넘쳐,그런날에는 술을 즐겨야죠!,
뭐든 할 수 있을 것 같아,그런날에는 술을 즐겨야죠!,
완전 행복한거있지,그런날에는 술을 즐겨야죠!,
행복 그자체,그런날에는 술을 즐겨야죠!,
추억 가득한 날이었어,그런날에는 술을 즐겨야죠!,
잊지못할거같아,그런날에는 술을 즐겨야죠!,
기분이 올해들어 가장 좋아,그런날에는 술을 즐겨야죠!,
올해에 가장 행복했어,그런날에는 술을 즐겨야죠!,
춤이 절로 나와,그런날에는 술을 즐겨야죠!,
춤이 쳐져,그런날에는 술을 즐겨야죠!,
너무 행복한거 있지,그런날에는 술을 즐겨야죠!,
기념하고 싶어,그런날에는 술을 즐겨야죠!,
그냥 그래,그런날에는 술을 즐겨야죠!,
보통이야,그런날에는 술을 즐겨야죠!,
그럭저럭,그런날에는 술을 즐겨야죠!,
기분이 보통이야,그런날에는 술을 즐겨야죠!,
좋지도 나쁘지도 않아,그런날에는 술을 즐겨야죠!,
딱 중간이야,그런날에는 술을 즐겨야죠!,
중간,그런날에는 술을 즐겨야죠!,
낫밷,그런날에는 술을 즐겨야죠!,
낫배드,그런날에는 술을 즐겨야죠!,
기분 보통,그런날에는 술을 즐겨야죠!,
기분 중간,그런날에는 술을 즐겨야죠!,
왔다갔다 해,그런날에는 술을 즐겨야죠!,
오락가락,그런날에는 술을 즐겨야죠!,
들쑥날쑥,그런날에는 술을 즐겨야죠!,
좋았다 나빴다,그런날에는 술을 즐겨야죠!,
좋고 나쁘고,그런날에는 술을 즐겨야죠!,
좋 나쁘,그런날에는 술을 즐겨야죠!,
좋지도 나쁘지도,그런날에는 술을 즐겨야죠!,
딱 좋아,그런날에는 술을 즐겨야죠!,
딱이야,그런날에는 술을 즐겨야죠!,
