이름*,맛,당도*,도수*,색상*,베이스*,레시피*,키워드,설명*,신맛내는거,,신맛내는거 포함 문자열
트로피컬 미모사,,중간 맛,7,#c49800,rum,"화이트 럼, 오렌지 주스, 그레나덴 시럽, 샴페인",,남국 기분이 넘치는 샴페인 칵테일.,1,,
트로픽 오브 카프리콘,단맛,단맛,18,#806c2a,rum,"화이트 럼, 크림 드 카카오, 오렌지 주스, 계란 흰자",,여름에 마시고 싶은 트로피컬 칵테일.,1,,
트와이라이트 존,,중간 맛,18,#a25d02,rum,"화이트 럼, 그레이프 프루트 주스, 아프리콧 브랜디, 카시스 리큐르",,꿈과 같은 세계에 몸을 둔 것 같은 칵테일.,1,,
니커보커 스페셜,쓴맛 ,중간 쓴맛,36,#c88d00,rum,"라이트 럼, 오렌지 큐라소, 레몬 주스, 라즈베리 시럽",,과일 맛이 살아 있는 중간 쓴맛의 칵테일.,1,,
네이키드 레이디,,중간 맛,24,#b65718,rum,"라이트 럼, 스위트 베르무트, 아프리콧 브랜디, 레몬 주스, 그레나덴 시럽",,꾸밈이 없는 알몸의 숙녀를 연상하여.,1,,
네바다,"단맛, 신맛",중간 맛,20,#bfaf93,rum,"라이트 럼, 라임 주스, 그레이프 프루트 주스, 설탕, 앙고스트라 비터",,과일 맛 속에 신맛과 단맛이 섞여 있다.,1,,
파인애플 피즈,상큼한맛,중간 맛,12,#c59c19,rum,"골드 럼, 파인애플 주스, 설탕 시럽, 소다수",,파인애플 주스 가득한 칵테일.,1,,
바카르디아노,"상쾌한맛, 단맛",중간 맛,22,#8e6035,rum,"화이트 럼, 갈리아노, 그레나덴 시럽, 레몬 주스",,상쾌함과 달콤함을 지닌 칵테일.,1,,
바카르디,,중간 맛,25,#b16f4f,rum,"바카르디 화이트 럼, 레몬 주스, 그레나덴 시럽",,바카르디 사의 럼을 사용하는 칵테일.,1,,
허니 서클,단맛,중간 단맛,21,#bb8f3c,rum,"골드 럼, 라임 주스, 꿀 시럽",,럼의 강력함을 라임과 꿀이 부드럽게 감싼다.,1,,
하바나 비치,단맛,단맛,17,#dfdcd4,rum,"화이트 럼, 파인애플 주스, 설탕 시럽",,달고 부드러운 맛의 여성 취향의 칵테일.,1,,
바하마,부드러운맛,중간 맛,24,#e0d2ae,rum,"화이트 럼, 서던 컴포트, 레몬 주스, 크림 드 바나누",,바나나 맛이 부드럽게 알코올과 혼연 일체가 된다.,0,,
바히아,단맛,단맛,16,#a59783,rum,"골드 럼, 파인애플 주스, 코코넛 밀크",,프로즌 스타일의 롱 칵테일.,0,,
바라쿠다,,중간 맛,16,#dbb734,rum,"골드 럼, 갈리아노, 파인애플 주스, 라임 주스, 설탕 시럽",,식욕을 돋구어주는 약초의 향이 살아 있는 식전주.,1,,
비너스,단맛,단맛,24,#ac5d00,rum,"화이트 럼, 라임 주스, 오렌지 주스, 아프리콧 브랜디, 그레나덴 시럽",,비너스의 이미지를 묘사한 달콤한 칵테일.,1,,
피냐 콜라다,단맛,단맛,8,#b9b2aa,rum,"화이트 럼, 파인애플 주스, 코코넛 밀크",,달콤하고 시원한 과일의 트로피컬 맛을 즐긴다.,1,,
프티트 플루어르,쓴맛 ,중간 쓴맛,32,#b18d2f,rum,"바카르디 럼, 코안트로, 그레이프 프루트 주스",,청초한 분위기와 향을 즐길 수 있는 중간 쓴맛의 칵테일.,1,,
플래티넘 블론드,단맛,단맛,22,#b1afbc,rum,"라이트 럼, 화이트 큐라소, 생크림",,은색 머리의 여성을 연상케 하는 기품이 넘치는 색.,0,,
블랙 로즈,,중간 맛,6,#7e542e,rum,"골드 럼, 아이스 커피",,향이 진한 커피맛의 검은 칵테일.,0,,
플랜터스 칵테일,,중간 맛,17,#bd9334,rum,"라이트 럼, 오렌지 주스, 레몬 주스",,오렌지 주스를 많이 사용한 과일 맛.,1,,
플랜터스 펀치,신맛,중간 맛,32,#ae6c36,rum,"자메이카 럼, 레몬 주스, 설탕 시럽, 코안트로, 포트와인",,신맛이 더위와 피로를 해소해 준다.,1,,
블루 하와이,,중간 맛,14,#067ba2,rum,"화이트 럼, 블루 큐라소, 파인애플 주스, 레몬 주스",,선명한 푸른색으로 하와이를 연상.,1,,
블루 하와이안,단맛,단맛,14,#afb4b3,rum,"화이트 럼, 블루 큐라소, 파인애플 주스, 코코넛 밀크",,크리미한 상쾌함은 남국의 정서가 넘친다.,0,,
프로즌 다이키리,,중간 맛,8,#9d958b,rum,"화이트 럼, 라임 주스, 화이트 큐라소, 설탕 시럽",,헤밍웨이는 시럽을 빼고 애음했다.,1,,
프로즌 파인애플 다이키리,단맛,단맛,7,#998043,rum,"화이트 럼, 파인애플, 라임 주스, 트리플 섹, 설탕 시럽",,파인애플 맛의 다이키리 바리에이션.,1,,
프로즌 바나나 다이키리,단맛,단맛,9,#987832,rum,"화이트 럼, 바나나 리큐르, 플레시 레몬 주스, 설탕 시럽, 플레시 바나나",,스탠더드를 바나나 맛으로 바꾸었다.,0,,
프로즌 민트 다이키리,상쾌한맛,중간 맛,20,#698b29,rum,"화이트 럼, 크림 드 민트, 크레슈 라임 주스",,상쾌한 민트 향이 가득한 칵테일.,0,,
폴라 쇼트 컷,,중간 맛,26,#8b3d2f,rum,"다크 럼, 코안트로, 체리 블랜디, 드라이 베르무트",,"""북극권을 최단거리로 날다""라는 뜻이 칵테일.",0,,
보스턴 쿨러,,중간 맛,11,#c7c7bc,rum,"라이트 럼, 레몬 주스, 설탕 시럽, 진저 에일",,럼 주를 사용한 쿨러 스타일의 드링크.,1,,
핫 에그노그,,중간 맛,9,#b4a172,rum,"화이트 럼, 브랜디, 핫 밀크, 계란 노른자, 설탕 시럽, 계란 흰자",,핫 칵테일의 대표적인 칵테일.,0,,
하 버터드 럼,,중간 맛,10,#8a6215,rum,"다크 럼, 각설탕, 버터, 뜨거운 물",,차가운 몸으로 후후 불면서 마시는 겨울의 대표 칵테일.,0,,
마이 마미,단맛,단맛,38,#b29114,rum,"화이트 럼, 코안트로, 멜론 리큐르",,딸에 대한 아버지의 사랑은 끝없는 것.,0,,
마이애미,청량한맛,중간 맛,31,#aba792,rum,"라이트 럼, 코안트로, 레몬 주스",,휴양지에서 마시던 청량감이 몸 안에 퍼질 듯하다.,1,,
마이타이,,중간 맛,25,#be8a00,rum,"화이트 럼, 화이트 큐라소, 파인애플 주스, 레몬 주스, 다크 럼",,화려한 색깔의 트로피컬 칵테일의 여왕.,1,,
마우이 피즈,단맛,단맛,10,#9d844b,rum,"화이트 럼, 계란, 파인애플 주스, 설탕 시럽",,계란이 들어간 농후한 영양 가득한 칵테일.,1,,
마야,단맛,중간 단맛,22,#a98d4d,rum,"화이트 럼, 골드 럼, 코안트로, 파인애플 주스, 설탕 시럽",,미스터리한 마야 문명을 칵테일에.,1,,
밀리오네어,,중간 맛,19,#8b391e,rum,"라이트 럼, 슬로진, 아프리콧 브랜디, 라임 주스, 그레나덴 시럽",,대부호라는 이름의 운이 좋은 이름.,1,,
뭄바,단맛,단맛,30,#be6f01,rum,"화이트 럼, 그랑 마니에, 오렌지 주스, 그레나덴 시럽",,오렌지 맛이 나는 약간 달콤한 칵테일.,1,,
무카로,단맛,단맛,8,#a6926c,rum,"골드 럼, 티아 마리아, 생크림",,디저트 감각으로 마시는 커피 맛의 칵테일.,0,,
메리 피크포드,단맛,단맛,18,#c36807,rum,"라이트 럼, 파인애플 주스, 그레나덴 시럽, 마라스키노",,영화 여배우 이름에 어울리는 화려함을 지닌다.,1,,
모히토,상쾌한맛,중간 맛,24,#b1a47b,rum,"라이트 럼, 라임 주스, 라임",,민트와 라임 향이 가득한 칵테일.,1,,
럼 오렌지,단맛,단맛,20,#ba6e00,rum,"화이트 럼, 플레시 오렌지 주스",,신선한 오렌지를 칵테일로 마신다.,1,,
럼 쿨러,시원한맛,중간 맛,12,#b89864,rum,"라이트 럼, 라임 주스, 그레나덴 시럽",,더운 여름에 갈증을 해소시켜 주는 드링크.,1,,
럼 콜린스,단맛,중간 맛,11,#858893,rum,"라이트 럼, 레몬 주스, 설탕 시럽, 소다수",,산뜻한 단맛의 콜린스는 어떤 베이스와도 궁합이 맞다.,1,,
럼 사워,단맛,중간 단맛,22,#8a8883,rum,"골드 럼, 라임 주스, 설탕 시럽",,새콤달콤한 감칠맛이 좋은 사워 스타일.,1,,
럼 쥴럽,쓴맛 ,중간 쓴맛,20,#aa6e00,rum,"화이트 럼, 다크 럼, 설탕, 미네랄 워터, 민트 잎",,민트 잎을 으깨면서 마시는 롱 드링크.,0,,
럼 듀보네,감칠맛,중간 맛,24,#5a3733,rum,"라이트 럼, 듀보네, 라임 주스",,식전주 와인에 확실한 감칠맛을 끌어낸다.,1,,
럼 피즈,산뜻한맛,중간 맛,14,#8a8883,rum,"화이트 럼, 플레시 레몬 주스, 설탕 가루, 소다수",,산뜻한 맛으로 마시기 부드러운 칵테일.,1,,
럼 플로트,,중간 맛,18,#937d52,rum,"골드 럼, 라임 주스, 파우더 슈거, 소다수",,럼 본래의 맛을 보는 데 적합한 칵테일.,0,,
리콜리아노,우아한맛,중간 맛,16,#89794e,rum,"화이트 럼, 갈리아노, 라임 주스, 설탕 시럽",,우아한 분위기를 지닌 롱 칵테일.,1,,
리틀 프린세스,쓴맛 ,중간 쓴맛,25,#908785,rum,"라이트 럼, 스위트 베르무트",,이름에 어울리지 않게 드라이한 맛을 지닌 칵테일.,0,,
로열 코코 펀치,단맛,단맛,25,#8d6c36,rum,"골드 럼, 코안트로, 크림 드 카카오, 아이스 커피, 코코넛 밀크",,초콜릿 맛으로 디저트 칵테일로 권장.,0,,
와라탐,단맛,중간 단맛,28,#62503b,rum,"화이트 럼, 드라이 베르무트, 그레나덴 시럽",,술꾼 대상의 중간 단맛의 칵테일.,0,,
애틀랜틱 코냑,단맛,중간 맛,11,#d7a000,brandy,"브랜디, 크림 드 카페, 오렌지 주스",,주스처럼 마시기 편하고 리큐르의 미세한 달콤함이 있다.,1,,
애프터눈,부드러운맛,중간 맛,32,#787648,brandy,"브랜디, 마라스키노, 페르멘 블랑카, 소다수",,마라스키노의 향이 풍부하고 마시기 부드러운 롱 드링크.,0,,
아메리칸 뷰티,,중간 맛,13,#944e27,brandy,"브랜디, 드라이 베르무트, 오렌지 주스, 그레나덴 시럽, 페퍼민트 화이트, 포트 와인",,진홍색 장미처럼 아름다운 칵테일.,1,,
아라고,"상쾌한맛, 단맛",중간 맛,27,#bfbbc1,brandy,"브랜디, 크림 드 바나누, 생크림",,보는 것보다도 상쾌한 맛과 달콤한 맛이 기분 좋다.,0,,
알렉산더,단맛,단맛,23,#d4c5ae,brandy,"브랜디, 크림 드 카카오, 생크림",,영국 왕비에게 바치는 고급 칵테일.,0,,
암브로시아,신맛,중간 맛,27,#855f3d,brandy,"브랜디, 애플 브랜디, 라즈베리 시럽, 스파클링 와인",,"상큼한 신맛과 와인 맛, 라즈베리 색을 띤 드링크.",1,,
예스 앤드 노,"쓴맛, 부드러운맛",쓴맛,37,#896029,brandy,"브랜디, 큐라소, 계란 흰자",,도수가 센 브랜디로 계란 흰자의 부드러움을 느낄 수 있다.,0,,
이스트 인디아 No 1,쓴맛 ,쓴맛,32,#af5f17,brandy,"브랜디, 파인애플 주스, 오렌지 큐라소, 앙고스트라 비터",,신선한 맛의 칵테일.,1,,
이스트 인디아,"쓴맛, 신선한맛",쓴맛,30,#cc8235,brandy,"브랜디, 파인애플 주스, 오렌지 큐라소, 앙고스트라 비터",,"브랜디를 조금 줄이고, 신선한 맛을 돋보인다.",1,,
인터내셔널,"쓴맛, 신선한맛",쓴맛,30,#aa7a04,brandy,"브랜디, 샤르트뢰즈 그린, 드라이 진, 파인애플 주스",,복잡한 가운데 짜릿한 쓴맛을 지닌 성인 칵테일,1,,
위프 노모어,"산뜻한맛, 단맛",중간 맛,27,#77391f,brandy,"브랜디, 듀보네, 마라스키노, 플레시 라임 주스",,산뜻한 맛 뒤에 부드러운 단맛이 퍼진다.,1,,
위치 웨이,,중간 맛,30,#ba8100,brandy,"브랜디, 아니세트, 페르노",,개성적인 맛과 향을 즐긴다면 한 번 권해 보자.,0,,
윌리 스미스,"산뜻한맛, 감칠맛",중간 맛,32,#c58500,brandy,"브랜디, 마라스키노, 레몬 주스",,산뜻하면서 감칠맛이 있는 칵테일.,1,,
에스키모,단맛,단맛,27,#a9a093,brandy,"브랜디, 바닐라 아이스크림, 마라스키노, 큐라소",,바닐라 향에 디저트 감각으로 마시는 칵테일.,0,,
애피큐리안,,중간 맛,32,#9e6219,brandy,"브랜디, 드라이 베르무트, 큔멜, 앙고스트라 비터",,쓴맛을 누그러뜨린 리큐르. 식전의 마음을 달래 주는 칵테일.,0,,
오드 매킨타이어,단맛,단맛,27,#b67b00,brandy,"브랜디, 코안트로, 릴레 블랑, 레몬 주스",,신선한 단맛을 지는 플레시한 칵테일.,1,,
엘리스,,중간 맛,24,#c29100,brandy,"브랜디, 앙고스트라 비터, 스트레가, 진저 에일",,"진저 에일의 튀는 거품, 레몬 껍질로 여유로운 마음을.",0,,
올림픽,,중간 맛,24,#e1b200,brandy,"브랜디, 오렌지 큐라소, 오렌지 주스",,파리 올림픽 기념으로 만든 누구에게나 사랑받는 칵테일.,1,,
카카투즈,,중간 맛,23,#ad4300,brandy,"브랜디, 바나나 리큐르, 만다린 임페리얼, 오렌지 주스, 레몬 주스, 그레나덴 시럽",,여러 가지 과일 맛의 남극을 연상케 하는 즐거운 칵테일.,1,,
가제트,미묘한맛,중간 맛,28,#863f0c,brandy,"브랜디, 스위트 베르무트, 레몬 주스, 시럽",,쓰지도 달콤하지도 않은 미묘한 맛이 매력인 칵테일.,1,,
칼리메로,상큼한맛,중간 맛,23,#bf8b03,brandy,"브랜디, 그랑 마니에, 티아 마리아, 오렌지 주스, 레몬 주스, 계란 흰자",,오렌지 향이 가득한 뒷맛이 상큼한 칵테일.,1,,
카르나발,,중간 맛,26,#af7c08,brandy,"브랜디, 아프리콧 브랜디, 드라이 베르무트, 키르슈, 오렌지 주스",,카니발의 화려함을 레시피로 표현한 즐거운 칵테일.,1,,
키스 프롬 헤븐,,중간 맛,30,#be8c00,brandy,"브랜디, 드랑브이, 드라이 베르무트",,쓴 가운데 향기가 피어오르는 남성을 위한 칵테일.,0,,
캐롤,,중간 맛,28,#987445,brandy,"브랜디, 스위트 베르무트",,두 가지 모두 개성이 강한 증류수.,0,,
퀸 엘리자베스,단맛,단맛,25,#a3560a,brandy,"브랜디, 스위트 베르무트, 오렌지 큐라소",,엘리자베스 여왕의 이름을 딴 고급스런 단맛의 칵테일.,1,,
퀵클리,단맛,중간 맛,28,#c08900,brandy,"브랜디, 아니세트, 큐라소, 앙고스트라 비터",,향기와 미세한 단맛을 천천히 음미하고 싶은 칵테일.,0,,
퀘이커스,쓴맛,쓴맛,26,#cb4620,brandy,"브랜디, 화이트 럼, 레몬 주스, 라즈베리 시럽",,브랜디와 럼의 배합. 보기보다 쓴 맛의 칵테일.,1,,
클래식,,중간 맛,28,#b58300,brandy,"브랜디, 레몬 주스, 오렌지 큐라소, 마라스키노",,이름대로 고전 시대를 연상케 하는 칵테일의 하나.,1,,
그린 룸,"쓴맛, 깊은맛",쓴맛,24,#a57300,brandy,"브랜디, 드라이 베르무트, 큐라소",,브랜디와 베르무트와 절묘한 배합으로 맛이 깊다.,0,,
크리스,부드러운맛,중간 맛,13,#c6a517,brandy,"브랜디, 드라이 베르무트, 아마렛토, 레몬 주스, 설탕 시럽, 토닉 워터",,아마렛토의 맛이 부드럽게 입안에 퍼지는 롱 드링크.,1,,
케르비,단맛,단맛,30,#8d641e,brandy,"브랜디, 큔멜",,참으로 간단한 레시피만으로 스터의 기술을 발휘할 수 있다.,0,,
코프스 리바이버 No 1,쓴맛 ,쓴맛,30,#7a5628,brandy,"브랜디, 칼바도스, 스위트 베르무트",,"칼바도스의 향이 희미하게, 상쾌하게 입안에 퍼지는 칵테일.",0,,
코프스 리바이버 No 4,감칠맛,중간 맛,19,#c37b00,brandy,"브랜디, 레몬 주스, 오렌지 주스, 그레나덴 시럽, 샴페인",,"감칠맛이 좋고, 샴페인의 거품이 아름답다.",1,,
골든 메달리온,감칠맛,중간 맛,20,#c07800,brandy,"브랜디, 갈리아노, 오렌지 주스, 계란 흰자",,달콤한 향으로 가득 찬 갈리아노. 계란 흰자의 하얀 거품이 인다.,1,,
골든 글림,,중간 맛,32,#b77c00,brandy,"브랜디, 그랑 마니에, 레몬 주스, 오렌지 주스",,"그랑 마니에의 감칠맛과 깊이, 향이 풍부한 중간 맛의 칵테일.",1,,
콜드 데크,,중간 맛,21,#944926,brandy,"브랜디, 화이트 크림 드 민트, 스위트 베르무트",,의표를 찌르는 배합으로 식후주로서 딱 맞는 칵테일.,0,,
코냑 오렌지,,중간 맛,30,#b77c00,brandy,"코냑, 플레시 오렌지 주스",,브랜디와 오렌지의 대표적인 베스트 칵테일.,1,,
코냑 칵테일,,중간 맛,18,#c99100,brandy,"코냑, 레몬 주스, 코안트로, 앙고스트라 비터",,코냑의 기품 있는 고귀함을 칵테일로 살린 식전주.,1,,
서 월터,"쓴맛, 상쾌한맛",쓴맛,32,#a45900,brandy,"브랜디, 럼, 그레나덴 시럽, 큐라소, 레몬 주스",,마실 때는 상쾌하지만 보기보다 강한 칵테일.,1,,
사이드카,,중간 맛,26,#b08200,brandy,"브랜디, 화이트 큐라소, 레몬 주스",,프랑스산의 변화가 많은 칵테일.,1,,
서버 펀,,중간 맛,17,#caa81e,brandy,"브랜디, 크림 드 바나누, 파인애플 주스, 오렌지 주스",,"과일 맛이 나는, 이름대로 여름의 즐거움.",1,,
사라토가,쓴맛 ,쓴맛,37,#a65500,brandy,"브랜디, 마라스키노, 앙고스트라 비터, 파인애플 주스",,브랜디의 스트레이트에 약간의 과일 향을 첨가한다.,1,,
선더 클랩,쓴맛 ,쓴맛 ,37,#bb9646,brandy,"브랜디, 위스키, 드라이 진",,뜻하지 않은 배합이 강한 맛을 낸다.,0,,
시카고,,중간 맛,25,#97824f,brandy,"브랜디, 큐라소, 앙고스트라 비터, 샴페인",,샴페인을 사용한 매우 화려한 칵테일.,0,,
시티 슬리커,쓴맛 ,쓴맛,28,#a5670d,brandy,"브랜디, 큐라소, 페르노",,단순한 레시피이면서 페르노가 맛을 이끌어낸다.,0,,
저지 라이트닝,"단맛, 쓴맛",중간 맛,27,#823600,brandy,"브랜디, 사과 브랜디, 스위트 베르무트, 앙고스트라 비터",,사과의 달콤한 향이 쓴맛의 칵테일을 부드럽게 해 준다.,0,,
샹제리제,부드러운맛,중간 맛,26,#bc7800,brandy,"브랜디, 샤르트뢰즈 옐로, 레몬 주스, 앙고스트라 비터",,멋쟁이 파리의 거리를 연상하게 하는 풍부하고 부드러운 맛.,1,,
샴페인 쿨러,청량한맛,중간 맛,28,#928668,brandy,"브랜디, 트리플 섹, 스파클링 와인",,여름에는 청량감이 있는 드링크.,1,,
스위트 에덴,단맛,단맛,20,#bd8c00,brandy,"브랜디, 티아 마리아, 블루 큐라소, 오렌지 주스",,"식후의 커피와 브랜디, 이 두 가지를 배합한 칵테일.",0,,
줌,단맛,단맛,17,#b8ac97,brandy,"브랜디, 꿀, 생크림",,농후한 맛으로 피로 회복에 도움을 주는 칵테일.,0,,
스쿠프,시원한맛,쓴맛,32,#cb6800,brandy,"브랜디, 애플 브랜디, 라이트 럼, 그레나덴 시럽, 아프리콧 브랜디",,"여름의 나무 그늘에서 마시고 싶은, 짜릿하게 시원한 칵테일.",0,,
스팅어,"상쾌한맛, 단맛",중간 맛,32,#a36800,brandy,"브랜디, 페퍼민트 화이트",,달콤함 뒤에 예리함을 숨기는 식후주의 대표적인 칵테일.,0,,
슬램 No 2,"신맛, 단맛",중간 맛,26,#c48a00,brandy,"브랜디, 코안트로, 아프리콧 브랜디, 라임 주스",,"아프리콧의 달콤함 향, 농후한 맛의 칵테일.",1,,
스페셜 라프,"신맛, 단맛",중간 맛,23,#c19907,brandy,"브랜디, 사과 주스, 페르노",,"주스를 많이 사용한 식전, 식후 아무때나 어울린다.",1,,
스리 밀러,쓴맛,쓴맛,34,#9b4915,brandy,"브랜디, 화이트 럼, 그레나덴 시럽",,연한 분홍색의 쓴맛을 좋아하는 성인 취향의 칵테일.,0,,
슬러지 해머,쓴맛,쓴맛,34,#9c6d3c,brandy,"브랜디, 사과 브랜디, 라이트 럼, 페르노",,"알코올 도수는 높지만, 칵테일다운 맛.",1,,
슬로피 조,"신맛, 단맛",단맛,23,#a54d41,brandy,"브랜디, 포트와인, 파인애플 주스, 그레나덴 시럽, 큐라소",,디저트에 어울리는 달콤함을 지닌 칵테일.,1,,
스완 송,신맛,중간 맛,24,#c87135,brandy,"브랜디, 사과 브랜디, 오렌지 주스, 그레나덴 시럽",,과일이 지닌 성질을 충분히 발휘한 칵테일.,1,,
다이나마이트,쓴맛,쓴맛,30,#bf7e4a,brandy,"브랜디, 그랑 마니에, 오렌지 주스, 샴페인",,"자극적인 샴페인의 거품, 꽤 쓴맛이 나는 칵테일.",1,,
더블 트러블,"쓴맛, 단맛",중간 맛,30,#b16a63,brandy,"브랜디, 드라이 베르무트, 그레나덴 시럽, 앙고스트라 비터",,보기에는 달콤한 듯 보이지만 맛은 쌉쌀한 중간 맛의 칵테일.,0,,
던힐71,단맛,단맛,28,#ac7d6c,brandy,"브랜디, 초콜릿 리큐르, 크림 드 바나누",,디저트로서 어울리는 달고 농후한 맛의 칵테일.,0,,
찰스,"단맛, 쓴맛",중간 맛,28,#b3adab,brandy,"브랜디, 스위트 베르무트, 앙고스트라 비터",,쌉쌀한 것 같으면서 달콤한 뒷맛이 깨끗한 칵테일.,0,,
초콜릿 솔저,"단맛, 초콜릿맛",단맛,30,#a1713a,brandy,"브랜디, 드라이 베르무트, 크림 드 카카오, 오렌지 비터스",,초콜릿 맛을 그대로 살린 칵테일.,0,,
티엔티,쓴맛,쓴맛,32,#a16925,brandy,"브랜디, 코안트로, 앙고스트라 비터, 파스피스",,각각의 개성을 살린 식욕을 자극하는 대표적인 칵테일.,0,,
데이비스 브랜디,"쓴맛, 단맛",중간 단맛,26,#a93331,brandy,"브랜디, 드라이 베르무트, 그레나덴 시럽, 앙고스트라 비터",,쌉쌀한 가운데 단맛이 숨어 있는 칵테일.,0,,
댑스 봄,"신맛, 쓴맛",쓴맛,28,#893330,brandy,"브랜디, 사과 브랜디, 레몬 주스, 그레나덴 시럽",,깊고 조용한 취기가 전신에 퍼지는 칵테일.,1,,
토퍼,"상쾌한맛, 쓴맛",쓴맛,30,#997348,brandy,"브랜디, 아프리콧 브랜디, 크림 드 민트 화이트, 페르노",,민트의 상쾌함과 페르노의 배합으로 독특한 맛을 낸다.,0,,
톱스 스마일,"단맛, 산뜻한 맛",단맛,30,#8e544c,brandy,"브랜디, 체리 브랜디, 드랑브이, 아니세트, 오렌지 주스, 레몬 주스",,산뜻한 달콤함과 신선한 향을 맛본다.,1,,
드림,쓴맛,쓴맛,30,#c8903b,brandy,"브랜디, 큐라소, 페르노",,궁합이 맞는 배합에 페르노가 포인트가 된다.,0,,
나이트캡,단맛,단맛,19,#ae8f4b,brandy,"브랜디, 큐라소, 아니세트, 계란 노른자",,"자기 전에 마시면 좋은, 몸에 부드러운 칵테일.",0,,
낸시,"단맛, 쓴맛",중간 맛,22,#af9d70,brandy,"브랜디, 베네딕틴 돔, 포트와인",,리큐르의 단맛으로 적당히 중화된 칵테일.,0,,
니콜라시카,"신맛, 단맛",단맛,40,#dfb746,brandy,"브랜디, 설탕, 슬라이스 레몬",,신맛과 단맛이 퍼지는 입안에서 만드는 칵테일.,1,,
닉스 온,"쓴맛, 단맛",중간 맛,28,#7d412f,brandy,"브랜디, 스위트 베르무트, 앙고스트라 비터, 페르노",,쌉쌀함 뒤에 희미한 단맛의 뒷맛이 그윽한 칵테일.,0,,
뉴튼스 스페셜,"쓴맛, 단맛",중간 맛,30,#5d3b28,brandy,"브랜디, 코안트로, 앙고스트라 비터",,코안트로의 향이 잘 나는 중간 맛의 칵테일.,0,,
허큘리스,"신맛, 단맛",단맛,22,#7f3119,brandy,"브랜디, 디사론노 아마렛토, 그레나덴 시럽, 오렌지 주스",,여름의 별자리와 연관된 이름으로 새콤달콤한 여름 드링크.,1,,
하바드,감칠맛,중간 맛,28,#78513e,brandy,"브랜디, 스위트 베르무트, 앙고스트라 비터, 설탕 시럽",,달지도 쓰지도 않은 적당한 감칠맛이다.,0,,
패신저 리스트,"단맛, 제비꽃맛..?",단맛,35,#83766a,brandy,"브랜디, 샤르트뢰즈 옐로, 바이올렛 리큐르, 드라이 진, 페르노",,제비꽃 색과 향이 입안에 퍼지는 칵테일.,0,,
반더빌트,단맛,단맛,27,#714c4b,brandy,"브랜디, 체리 브랜디, 설탕 시럽, 앙고스트라 비터",,식후에 달콤하고 향기 있는 칵테일을 천천히 즐기는 행복한 시간.,0,,
피터 타워,쓴맛,쓴맛,30,#ab5d1f,brandy,"브랜디, 라이트 럼, 큐라소, 그레나덴 시럽, 레몬 주스",,럼과 큐라소로 브랜디가 남국 분위기로.,1,,
빅보이,쓴맛,중간 맛,32,#b27f33,brandy,"브랜디, 코안트로, 레몬 시럽",,"기품이 있는 향을 맛보는 식전, 식후에 마시는 칵테일.",1,,
비트윈 더 시츠,"신맛, 쓴맛",중간 맛,32,#ae7824,brandy,"브랜디, 화이트 럼, 코안트로, 레몬 주스",,의미 심장한 이름의 어른이 즐기는 칵테일.,1,,
빌리 해밀턴,"초콜릿맛, 단맛",단맛,30,#4b291c,brandy,"브랜디, 오렌지 큐라소, 크림 드 카카오, 계란 흰자",,초콜릿 맛이 피로를 달래주어 여유로운 기분으로 만드는 칵테일.,0,,
판타지오,"상쾌한맛, 쓴맛",쓴맛,30,#9c5728,brandy,"브랜디, 드라이 베르무트, 마라스키노, 크림 드 민트 화이트",,민트의 상큼함이 입안에 퍼지는 산뜻한 맛.,0,,
피비 스노,"감칠맛, 쓴맛",중간 맛,27,#6f4334,brandy,"브랜디, 듀보네, 페르노",,월광에 및나는 구름과 같은 아름다운 감칠맛이 있는 칵테일.,0,,
후플라,"신맛, 쓴맛",중간 맛,27,#af8c01,brandy,"브랜디, 코안트로, 릴레 블랑, 레몬 주스",,멋지다! 라는 이름대로 신선한 맛이 살아 있다.,1,,
페이버리트,신맛,중간 맛,28,#aa461d,brandy,"브랜디, 드라이 진, 레몬 주스, 그레나덴 시럽",,주스 감각이라고는 하나 도수가 강한 중간 맛의 식전주.,1,,
페르네,"단맛, 쓴맛",중간 맛,28,#906f40,brandy,"브랜디, 페르네 블랑카, 앙고스트라 비터, 설탕 시럽",,조금 변했지만 마시기 부드러운 식전주.,0,,
포 스코어,"단맛, 신맛",중간 맛,25,#926132,brandy,"브랜디, 릴레 블랑, 옐로 샤르트뢰즈",,"산뜻하고 순한 단맛, 과일 맛의 식전주.",1,,
브랜디 칵테일,"쓴맛, 부드러운맛",중간 맛,33,#6e4937,brandy,"브랜디, 베네딕틴, 앙고스트라 비터",,보드카 베이스도 있는 스탠더드한 식전주.,0,,
브랜디 에그 노그,"단맛, 쓴맛",중간 맛,27,#b2a293,brandy,"브랜디, 골든 럼, 설탕, 계란, 우유",,뜨거운 물을 부으면 톰&제리. 여름에 시원하게하여 마시는 계란 술.,0,,
브랜디 건프,신맛,중간 맛,30,#802b10,brandy,"브랜디, 레몬주스, 그레나덴 시럽",,신맛이 칵테일의 맛을 결정한다.,1,,
브랜드 크러스타,신맛,중간 맛,27,#b48a00,brandy,"브랜디, 큐라소, 마라스키노, 레몬 주스",,"상큼한 오렌지 맛, 레몬 껍질이 향기가 난다.",1,,
브랜드 콜린스,신맛,중간 맛,16,#7e2c11,brandy,"브랜디, 플레시 레몬 주스, 설탕가루, 소다수",,레몬의 신선한 향과 소다수의 상쾌함.,1,,
